"","condition","item","sentence","reading_time","subject","ambiguity_G","ambiguity"
"2771","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",4436,18,"Unambiguous",-1
"2777","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",3677,18,"Unambiguous",-1
"2783","exp1","3","After the bear scratched the lion in the forest climbed the tree.",9501,18,"Ambiguous",1
"2789","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",3209,18,"Ambiguous",1
"2854","exp1","2","After the woman dressed the boy at home read a book.",8969,19,"Ambiguous",1
"2860","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",12062,19,"Unambiguous",-1
"2866","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",8009,19,"Unambiguous",-1
"2872","exp3","4","After the parents hugged their child in the park sat on the bench.",8983,19,"Ambiguous",1
"2878","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",7992,19,"Unambiguous",-1
"2884","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",12050,19,"Ambiguous",1
"2890","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",13712,19,"Unambiguous",-1
"2896","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",13665,19,"Ambiguous",1
"2902","exp2","7","After the lady dressed%2C the boy in the house watched the television.",12731,19,"Unambiguous",-1
"2908","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",7871,19,"Ambiguous",1
"2914","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",9352,19,"Unambiguous",-1
"2920","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",6578,19,"Unambiguous",-1
"2926","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",11837,19,"Unambiguous",-1
"2932","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",9504,19,"Ambiguous",1
"2938","exp1","6","After the mouse scratched the man with the dark hair drank some water.",6308,19,"Ambiguous",1
"2944","exp3","8","After the lady woke up her husband at home drank some coffee.",7390,19,"Ambiguous",1
"3009","exp1","9","After the parents kissed their son in the dining room ate some bread.",12658,20,"Ambiguous",1
"3015","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",10294,20,"Unambiguous",-1
"3021","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",11736,20,"Unambiguous",-1
"3027","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",7209,20,"Ambiguous",1
"3033","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",13269,20,"Ambiguous",1
"3039","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",6109,20,"Ambiguous",1
"3045","exp3","3","After the bear scratched the lion in the forest climbed the tree.",15901,20,"Ambiguous",1
"3051","exp1","1","After the lady woke up the boy in the room ate a sandwich.",7135,20,"Ambiguous",1
"3057","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",11528,20,"Unambiguous",-1
"3063","exp2","2","After the woman dressed%2C the boy at home read a book.",13687,20,"Unambiguous",-1
"3069","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",7636,20,"Unambiguous",-1
"3075","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",5979,20,"Unambiguous",-1
"3081","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",6900,20,"Unambiguous",-1
"3087","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",9145,20,"Ambiguous",1
"3093","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",10118,20,"Unambiguous",-1
"3099","exp3","7","After the lady dressed the boy in the house watched the television.",7567,20,"Ambiguous",1
"3164","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",3531,21,"Unambiguous",-1
"3170","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",3809,21,"Ambiguous",1
"3176","exp1","8","After the lady woke up her husband at home drank some coffee.",4774,21,"Ambiguous",1
"3182","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",3638,21,"Unambiguous",-1
"3188","exp3","6","After the mouse scratched the man with the dark hair drank some water.",5594,21,"Ambiguous",1
"3194","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",3455,21,"Ambiguous",1
"3200","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",3399,21,"Unambiguous",-1
"3206","exp4","7","After the lady dressed%2C the boy in the house watched the television.",3178,21,"Unambiguous",-1
"3212","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",4552,21,"Ambiguous",1
"3218","exp1","4","After the parents hugged their child in the park sat on the bench.",3426,21,"Ambiguous",1
"3224","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",8099,21,"Unambiguous",-1
"3230","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",3587,21,"Unambiguous",-1
"3236","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",6860,21,"Unambiguous",-1
"3242","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",2729,21,"Ambiguous",1
"3248","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",5929,21,"Unambiguous",-1
"3254","exp3","2","After the woman dressed the boy at home read a book.",5806,21,"Ambiguous",1
"3319","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",5986,22,"Ambiguous",1
"3325","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",7805,22,"Unambiguous",-1
"3331","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",9272,22,"Ambiguous",1
"3337","exp1","7","After the lady dressed the boy in the house watched the television.",7038,22,"Ambiguous",1
"3343","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",5505,22,"Unambiguous",-1
"3349","exp4","2","After the woman dressed%2C the boy at home read a book.",5099,22,"Unambiguous",-1
"3355","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5849,22,"Unambiguous",-1
"3361","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",2371,22,"Unambiguous",-1
"3367","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",35166,22,"Unambiguous",-1
"3373","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",7822,22,"Unambiguous",-1
"3379","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",5505,22,"Ambiguous",1
"3385","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",3077,22,"Ambiguous",1
"3391","exp1","3","After the bear scratched the lion in the forest climbed the tree.",21623,22,"Ambiguous",1
"3397","exp3","1","After the lady woke up the boy in the room ate a sandwich.",43638,22,"Ambiguous",1
"3403","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",9763,22,"Unambiguous",-1
"3409","exp3","9","After the parents kissed their son in the dining room ate some bread.",6041,22,"Ambiguous",1
"3472","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",12886,23,"Unambiguous",-1
"3478","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",14264,23,"Unambiguous",-1
"3484","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",12115,23,"Unambiguous",-1
"3490","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",10765,23,"Unambiguous",-1
"3496","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",8127,23,"Ambiguous",1
"3502","exp1","2","After the woman dressed the boy at home read a book.",9626,23,"Ambiguous",1
"3508","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",9875,23,"Unambiguous",-1
"3514","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",8970,23,"Ambiguous",1
"3520","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",12357,23,"Unambiguous",-1
"3526","exp1","6","After the mouse scratched the man with the dark hair drank some water.",11189,23,"Ambiguous",1
"3532","exp3","4","After the parents hugged their child in the park sat on the bench.",21744,23,"Ambiguous",1
"3538","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",9867,23,"Ambiguous",1
"3544","exp3","8","After the lady woke up her husband at home drank some coffee.",19260,23,"Ambiguous",1
"3550","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",25821,23,"Ambiguous",1
"3556","exp2","7","After the lady dressed%2C the boy in the house watched the television.",7156,23,"Unambiguous",-1
"3562","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",16178,23,"Unambiguous",-1
"3629","exp3","7","After the lady dressed the boy in the house watched the television.",8912,24,"Ambiguous",1
"3635","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",6837,24,"Unambiguous",-1
"3641","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",10175,24,"Unambiguous",-1
"3647","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",7209,24,"Unambiguous",-1
"3653","exp1","9","After the parents kissed their son in the dining room ate some bread.",6106,24,"Ambiguous",1
"3659","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",6731,24,"Unambiguous",-1
"3665","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",5833,24,"Unambiguous",-1
"3671","exp3","3","After the bear scratched the lion in the forest climbed the tree.",6295,24,"Ambiguous",1
"3677","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",5745,24,"Unambiguous",-1
"3683","exp2","2","After the woman dressed%2C the boy at home read a book.",7521,24,"Unambiguous",-1
"3689","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",5304,24,"Ambiguous",1
"3695","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",5960,24,"Unambiguous",-1
"3701","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",5454,24,"Ambiguous",1
"3707","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",5429,24,"Ambiguous",1
"3713","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",4411,24,"Ambiguous",1
"3719","exp1","1","After the lady woke up the boy in the room ate a sandwich.",6635,24,"Ambiguous",1
"3784","exp3","4","After the parents hugged their child in the park sat on the bench.",11316,25,"Ambiguous",1
"3790","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",5637,25,"Unambiguous",-1
"3796","exp1","6","After the mouse scratched the man with the dark hair drank some water.",6485,25,"Ambiguous",1
"3802","exp1","2","After the woman dressed the boy at home read a book.",6418,25,"Ambiguous",1
"3808","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",9123,25,"Unambiguous",-1
"3814","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",7379,25,"Unambiguous",-1
"3820","exp2","7","After the lady dressed%2C the boy in the house watched the television.",4953,25,"Unambiguous",-1
"3826","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",3836,25,"Unambiguous",-1
"3832","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",3335,25,"Unambiguous",-1
"3838","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",7059,25,"Ambiguous",1
"3844","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",2918,25,"Unambiguous",-1
"3850","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",3564,25,"Ambiguous",1
"3856","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",4279,25,"Ambiguous",1
"3862","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",3750,25,"Ambiguous",1
"3868","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",4180,25,"Unambiguous",-1
"3874","exp3","8","After the lady woke up her husband at home drank some coffee.",8109,25,"Ambiguous",1
"3937","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",20641,26,"Unambiguous",-1
"3943","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",18791,26,"Unambiguous",-1
"3949","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",19035,26,"Ambiguous",1
"3955","exp1","2","After the woman dressed the boy at home read a book.",21253,26,"Ambiguous",1
"3961","exp2","7","After the lady dressed%2C the boy in the house watched the television.",25931,26,"Unambiguous",-1
"3967","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",21936,26,"Unambiguous",-1
"3973","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",23011,26,"Unambiguous",-1
"3979","exp3","4","After the parents hugged their child in the park sat on the bench.",8119,26,"Ambiguous",1
"3985","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",12346,26,"Unambiguous",-1
"3991","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",17613,26,"Unambiguous",-1
"3997","exp1","6","After the mouse scratched the man with the dark hair drank some water.",9597,26,"Ambiguous",1
"4003","exp3","8","After the lady woke up her husband at home drank some coffee.",12822,26,"Ambiguous",1
"4009","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",19484,26,"Ambiguous",1
"4015","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",12701,26,"Ambiguous",1
"4021","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",7487,26,"Unambiguous",-1
"4027","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",6872,26,"Ambiguous",1
"4094","exp1","8","After the lady woke up her husband at home drank some coffee.",11480,27,"Ambiguous",1
"4100","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",7240,27,"Unambiguous",-1
"4106","exp3","6","After the mouse scratched the man with the dark hair drank some water.",13091,27,"Ambiguous",1
"4112","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",7479,27,"Unambiguous",-1
"4118","exp3","2","After the woman dressed the boy at home read a book.",4515,27,"Ambiguous",1
"4124","exp1","4","After the parents hugged their child in the park sat on the bench.",4405,27,"Ambiguous",1
"4130","exp4","7","After the lady dressed%2C the boy in the house watched the television.",8279,27,"Unambiguous",-1
"4136","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",31273,27,"Unambiguous",-1
"4142","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",9493,27,"Ambiguous",1
"4148","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",8635,27,"Ambiguous",1
"4154","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",16515,27,"Ambiguous",1
"4160","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",8588,27,"Unambiguous",-1
"4166","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",3435,27,"Ambiguous",1
"4172","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",5776,27,"Unambiguous",-1
"4178","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",18514,27,"Unambiguous",-1
"4184","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",7280,27,"Unambiguous",-1
"4249","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",9431,28,"Unambiguous",-1
"4255","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",5436,28,"Ambiguous",1
"4261","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",3913,28,"Ambiguous",1
"4267","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",4431,28,"Ambiguous",1
"4273","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",28064,28,"Unambiguous",-1
"4279","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",3503,28,"Unambiguous",-1
"4285","exp1","3","After the bear scratched the lion in the forest climbed the tree.",15958,28,"Ambiguous",1
"4291","exp3","1","After the lady woke up the boy in the room ate a sandwich.",5983,28,"Ambiguous",1
"4297","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",4028,28,"Unambiguous",-1
"4303","exp1","7","After the lady dressed the boy in the house watched the television.",4359,28,"Ambiguous",1
"4309","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",6837,28,"Unambiguous",-1
"4315","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",3666,28,"Unambiguous",-1
"4321","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",4150,28,"Unambiguous",-1
"4327","exp4","2","After the woman dressed%2C the boy at home read a book.",4068,28,"Unambiguous",-1
"4333","exp3","9","After the parents kissed their son in the dining room ate some bread.",3615,28,"Ambiguous",1
"4339","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",12743,28,"Ambiguous",1
"4402","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",5548,29,"Unambiguous",-1
"4408","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",4697,29,"Unambiguous",-1
"4414","exp1","2","After the woman dressed the boy at home read a book.",4542,29,"Ambiguous",1
"4420","exp2","7","After the lady dressed%2C the boy in the house watched the television.",5590,29,"Unambiguous",-1
"4426","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",3784,29,"Ambiguous",1
"4432","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",3545,29,"Unambiguous",-1
"4438","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",11391,29,"Unambiguous",-1
"4444","exp3","4","After the parents hugged their child in the park sat on the bench.",5254,29,"Ambiguous",1
"4450","exp1","6","After the mouse scratched the man with the dark hair drank some water.",14847,29,"Ambiguous",1
"4456","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",3603,29,"Ambiguous",1
"4462","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",10533,29,"Unambiguous",-1
"4468","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",4106,29,"Unambiguous",-1
"4474","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",9504,29,"Ambiguous",1
"4480","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",20016,29,"Unambiguous",-1
"4486","exp3","8","After the lady woke up her husband at home drank some coffee.",11629,29,"Ambiguous",1
"4492","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",6374,29,"Ambiguous",1
"4559","exp3","7","After the lady dressed the boy in the house watched the television.",6343,30,"Ambiguous",1
"4565","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",8605,30,"Unambiguous",-1
"4571","exp1","9","After the parents kissed their son in the dining room ate some bread.",9960,30,"Ambiguous",1
"4577","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",13746,30,"Unambiguous",-1
"4583","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",7453,30,"Ambiguous",1
"4589","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",11162,30,"Unambiguous",-1
"4595","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",16415,30,"Ambiguous",1
"4601","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",12554,30,"Ambiguous",1
"4607","exp2","2","After the woman dressed%2C the boy at home read a book.",24485,30,"Unambiguous",-1
"4613","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",9111,30,"Unambiguous",-1
"4619","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",9710,30,"Ambiguous",1
"4625","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",9907,30,"Unambiguous",-1
"4631","exp1","1","After the lady woke up the boy in the room ate a sandwich.",6761,30,"Ambiguous",1
"4637","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",12242,30,"Unambiguous",-1
"4643","exp3","3","After the bear scratched the lion in the forest climbed the tree.",4938,30,"Ambiguous",1
"4649","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",7932,30,"Unambiguous",-1
"4714","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",3603,31,"Unambiguous",-1
"4720","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",5085,31,"Unambiguous",-1
"4726","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",3472,31,"Unambiguous",-1
"4732","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",7712,31,"Ambiguous",1
"4738","exp1","8","After the lady woke up her husband at home drank some coffee.",6948,31,"Ambiguous",1
"4744","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",4814,31,"Unambiguous",-1
"4750","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",4785,31,"Unambiguous",-1
"4756","exp3","6","After the mouse scratched the man with the dark hair drank some water.",5481,31,"Ambiguous",1
"4762","exp4","7","After the lady dressed%2C the boy in the house watched the television.",3152,31,"Unambiguous",-1
"4768","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",3365,31,"Unambiguous",-1
"4774","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",3846,31,"Unambiguous",-1
"4780","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",4487,31,"Ambiguous",1
"4786","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",3872,31,"Ambiguous",1
"4792","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",6273,31,"Ambiguous",1
"4798","exp1","4","After the parents hugged their child in the park sat on the bench.",3325,31,"Ambiguous",1
"4804","exp3","2","After the woman dressed the boy at home read a book.",4635,31,"Ambiguous",1
"4869","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",13223,32,"Ambiguous",1
"4875","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",6999,32,"Unambiguous",-1
"4881","exp1","3","After the bear scratched the lion in the forest climbed the tree.",6956,32,"Ambiguous",1
"4887","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",8225,32,"Unambiguous",-1
"4893","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",14838,32,"Ambiguous",1
"4899","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",9932,32,"Unambiguous",-1
"4905","exp3","1","After the lady woke up the boy in the room ate a sandwich.",3763,32,"Ambiguous",1
"4911","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",10330,32,"Ambiguous",1
"4917","exp3","9","After the parents kissed their son in the dining room ate some bread.",3167,32,"Ambiguous",1
"4923","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",7391,32,"Unambiguous",-1
"4929","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",17992,32,"Unambiguous",-1
"4935","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",2799,32,"Unambiguous",-1
"4941","exp1","7","After the lady dressed the boy in the house watched the television.",8214,32,"Ambiguous",1
"4947","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5126,32,"Unambiguous",-1
"4953","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",3322,32,"Ambiguous",1
"4959","exp4","2","After the woman dressed%2C the boy at home read a book.",5790,32,"Unambiguous",-1
"5022","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",11083,33,"Unambiguous",-1
"5028","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",13582,33,"Unambiguous",-1
"5034","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",7777,33,"Ambiguous",1
"5040","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",8898,33,"Unambiguous",-1
"5046","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",8215,33,"Ambiguous",1
"5052","exp3","9","After the parents kissed their son in the dining room ate some bread.",7846,33,"Ambiguous",1
"5058","exp1","7","After the lady dressed the boy in the house watched the television.",5456,33,"Ambiguous",1
"5064","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",8919,33,"Unambiguous",-1
"5070","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",6184,33,"Ambiguous",1
"5076","exp1","3","After the bear scratched the lion in the forest climbed the tree.",9570,33,"Ambiguous",1
"5082","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",6274,33,"Unambiguous",-1
"5088","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",10703,33,"Unambiguous",-1
"5094","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",5396,33,"Unambiguous",-1
"5100","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",10242,33,"Ambiguous",1
"5106","exp3","1","After the lady woke up the boy in the room ate a sandwich.",6169,33,"Ambiguous",1
"5112","exp4","2","After the woman dressed%2C the boy at home read a book.",5063,33,"Unambiguous",-1
"5179","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",3038,34,"Unambiguous",-1
"5185","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",4130,34,"Unambiguous",-1
"5191","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",3349,34,"Ambiguous",1
"5197","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",2691,34,"Ambiguous",1
"5203","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",4135,34,"Unambiguous",-1
"5209","exp1","9","After the parents kissed their son in the dining room ate some bread.",2333,34,"Ambiguous",1
"5215","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",4807,34,"Unambiguous",-1
"5221","exp2","2","After the woman dressed%2C the boy at home read a book.",5985,34,"Unambiguous",-1
"5227","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",3062,34,"Unambiguous",-1
"5233","exp1","1","After the lady woke up the boy in the room ate a sandwich.",3181,34,"Ambiguous",1
"5239","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",2242,34,"Unambiguous",-1
"5245","exp3","7","After the lady dressed the boy in the house watched the television.",2928,34,"Ambiguous",1
"5251","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",5978,34,"Ambiguous",1
"5257","exp3","3","After the bear scratched the lion in the forest climbed the tree.",4099,34,"Ambiguous",1
"5263","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",2424,34,"Ambiguous",1
"5269","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",3244,34,"Unambiguous",-1
"5334","exp3","3","After the bear scratched the lion in the forest climbed the tree.",15345,35,"Ambiguous",1
"5340","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",7455,35,"Ambiguous",1
"5346","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",7012,35,"Unambiguous",-1
"5352","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",6125,35,"Ambiguous",1
"5358","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",10476,35,"Unambiguous",-1
"5364","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",9946,35,"Unambiguous",-1
"5370","exp3","7","After the lady dressed the boy in the house watched the television.",9801,35,"Ambiguous",1
"5376","exp1","9","After the parents kissed their son in the dining room ate some bread.",10152,35,"Ambiguous",1
"5382","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",6253,35,"Unambiguous",-1
"5388","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",7859,35,"Unambiguous",-1
"5394","exp2","2","After the woman dressed%2C the boy at home read a book.",5156,35,"Unambiguous",-1
"5400","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",9211,35,"Ambiguous",1
"5406","exp1","1","After the lady woke up the boy in the room ate a sandwich.",5582,35,"Ambiguous",1
"5412","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",5790,35,"Unambiguous",-1
"5418","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5986,35,"Unambiguous",-1
"5424","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",6312,35,"Ambiguous",1
"5487","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",6039,36,"Unambiguous",-1
"5493","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",1470,36,"Unambiguous",-1
"5499","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",2184,36,"Unambiguous",-1
"5505","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",6236,36,"Ambiguous",1
"5511","exp3","9","After the parents kissed their son in the dining room ate some bread.",4896,36,"Ambiguous",1
"5517","exp1","3","After the bear scratched the lion in the forest climbed the tree.",4620,36,"Ambiguous",1
"5523","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",4224,36,"Ambiguous",1
