"","condition","item","response","response_time","subject","ambiguity_G","question_type_G","ambiguity","question_type"
"3326","exp4","6",1,1909,22,"Unambiguous","Main_Clause_Question",-1,1
"3332","exp3","13",1,3522,22,"Ambiguous","Main_Clause_Question",1,1
"3338","exp1","7",0,1901,22,"Ambiguous","Subordinate_Clause_Question",1,-1
"3344","exp2","8",1,5617,22,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3350","exp4","2",1,1544,22,"Unambiguous","Main_Clause_Question",-1,1
"3356","exp4","10",0,2831,22,"Unambiguous","Main_Clause_Question",-1,1
"3362","exp2","16",0,1645,22,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3368","exp4","14",0,1644,22,"Unambiguous","Main_Clause_Question",-1,1
"3374","exp2","4",0,2656,22,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3380","exp1","15",0,3230,22,"Ambiguous","Subordinate_Clause_Question",1,-1
"3386","exp3","5",1,2361,22,"Ambiguous","Main_Clause_Question",1,1
"3392","exp1","3",1,3806,22,"Ambiguous","Subordinate_Clause_Question",1,-1
"3398","exp3","1",1,3045,22,"Ambiguous","Main_Clause_Question",1,1
"3404","exp2","12",0,1529,22,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3410","exp3","9",0,2123,22,"Ambiguous","Main_Clause_Question",1,1
"3473","exp2","15",0,5502,23,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3479","exp4","5",0,4095,23,"Unambiguous","Main_Clause_Question",-1,1
"3485","exp2","3",0,10452,23,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3491","exp4","13",0,4673,23,"Unambiguous","Main_Clause_Question",-1,1
"3497","exp1","10",0,5255,23,"Ambiguous","Subordinate_Clause_Question",1,-1
"3503","exp1","2",0,7907,23,"Ambiguous","Subordinate_Clause_Question",1,-1
"3509","exp4","1",1,2315,23,"Unambiguous","Main_Clause_Question",-1,1
"3515","exp3","16",0,3588,23,"Ambiguous","Main_Clause_Question",1,1
"3521","exp4","9",0,3088,23,"Unambiguous","Main_Clause_Question",-1,1
"3527","exp1","6",0,4999,23,"Ambiguous","Subordinate_Clause_Question",1,-1
"3533","exp3","4",0,25574,23,"Ambiguous","Main_Clause_Question",1,1
"3539","exp3","12",0,2364,23,"Ambiguous","Main_Clause_Question",1,1
"3545","exp3","8",0,6135,23,"Ambiguous","Main_Clause_Question",1,1
"3551","exp1","14",0,4670,23,"Ambiguous","Subordinate_Clause_Question",1,-1
"3557","exp2","7",0,3845,23,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3563","exp2","11",1,3131,23,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3630","exp3","7",1,3528,24,"Ambiguous","Main_Clause_Question",1,1
"3636","exp2","14",1,7125,24,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3642","exp4","12",1,3928,24,"Unambiguous","Main_Clause_Question",-1,1
"3648","exp4","8",1,2872,24,"Unambiguous","Main_Clause_Question",-1,1
"3654","exp1","9",1,3645,24,"Ambiguous","Subordinate_Clause_Question",1,-1
"3660","exp2","10",1,4739,24,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3666","exp4","16",1,2146,24,"Unambiguous","Main_Clause_Question",-1,1
"3672","exp3","3",0,3270,24,"Ambiguous","Main_Clause_Question",1,1
"3678","exp4","4",0,4239,24,"Unambiguous","Main_Clause_Question",-1,1
"3684","exp2","2",1,3919,24,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3690","exp1","13",0,4847,24,"Ambiguous","Subordinate_Clause_Question",1,-1
"3696","exp2","6",0,5179,24,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3702","exp1","5",0,3321,24,"Ambiguous","Subordinate_Clause_Question",1,-1
"3708","exp3","11",1,4584,24,"Ambiguous","Main_Clause_Question",1,1
"3714","exp3","15",0,3428,24,"Ambiguous","Main_Clause_Question",1,1
"3720","exp1","1",1,4864,24,"Ambiguous","Subordinate_Clause_Question",1,-1
"3785","exp3","4",0,3198,25,"Ambiguous","Main_Clause_Question",1,1
"3791","exp4","13",1,2898,25,"Unambiguous","Main_Clause_Question",-1,1
"3797","exp1","6",0,6835,25,"Ambiguous","Subordinate_Clause_Question",1,-1
"3803","exp1","2",0,4389,25,"Ambiguous","Subordinate_Clause_Question",1,-1
"3809","exp2","11",0,5355,25,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3815","exp2","3",1,10547,25,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3821","exp2","7",1,2748,25,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3827","exp4","1",1,3416,25,"Unambiguous","Main_Clause_Question",-1,1
"3833","exp4","5",1,2629,25,"Unambiguous","Main_Clause_Question",-1,1
"3839","exp1","14",0,5777,25,"Ambiguous","Subordinate_Clause_Question",1,-1
"3845","exp2","15",1,4165,25,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3851","exp3","12",1,2641,25,"Ambiguous","Main_Clause_Question",1,1
"3857","exp3","16",1,2560,25,"Ambiguous","Main_Clause_Question",1,1
"3863","exp1","10",1,2669,25,"Ambiguous","Subordinate_Clause_Question",1,-1
"3869","exp4","9",1,5727,25,"Unambiguous","Main_Clause_Question",-1,1
"3875","exp3","8",1,3586,25,"Ambiguous","Main_Clause_Question",1,1
"3938","exp4","13",1,5929,26,"Unambiguous","Main_Clause_Question",-1,1
"3944","exp2","15",1,5738,26,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3950","exp3","16",1,8603,26,"Ambiguous","Main_Clause_Question",1,1
"3956","exp1","2",0,6524,26,"Ambiguous","Subordinate_Clause_Question",1,-1
"3962","exp2","7",1,2645,26,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3968","exp2","11",1,15848,26,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3974","exp2","3",0,6370,26,"Unambiguous","Subordinate_Clause_Question",-1,-1
"3980","exp3","4",0,5541,26,"Ambiguous","Main_Clause_Question",1,1
"3986","exp4","9",1,3251,26,"Unambiguous","Main_Clause_Question",-1,1
"3992","exp4","1",1,2498,26,"Unambiguous","Main_Clause_Question",-1,1
"3998","exp1","6",0,8033,26,"Ambiguous","Subordinate_Clause_Question",1,-1
"4004","exp3","8",0,8307,26,"Ambiguous","Main_Clause_Question",1,1
"4010","exp1","10",1,2284,26,"Ambiguous","Subordinate_Clause_Question",1,-1
"4016","exp3","12",0,3589,26,"Ambiguous","Main_Clause_Question",1,1
"4022","exp4","5",1,2787,26,"Unambiguous","Main_Clause_Question",-1,1
"4028","exp1","14",0,7655,26,"Ambiguous","Subordinate_Clause_Question",1,-1
"4095","exp1","8",1,6447,27,"Ambiguous","Subordinate_Clause_Question",1,-1
"4101","exp2","9",0,3374,27,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4107","exp3","6",1,2479,27,"Ambiguous","Main_Clause_Question",1,1
"4113","exp4","15",1,2498,27,"Unambiguous","Main_Clause_Question",-1,1
"4119","exp3","2",1,1523,27,"Ambiguous","Main_Clause_Question",1,1
"4125","exp1","4",0,2191,27,"Ambiguous","Subordinate_Clause_Question",1,-1
"4131","exp4","7",1,2298,27,"Unambiguous","Main_Clause_Question",-1,1
"4137","exp4","3",0,2441,27,"Unambiguous","Main_Clause_Question",-1,1
"4143","exp3","10",0,2487,27,"Ambiguous","Main_Clause_Question",1,1
"4149","exp1","16",0,3742,27,"Ambiguous","Subordinate_Clause_Question",1,-1
"4155","exp3","14",0,2231,27,"Ambiguous","Main_Clause_Question",1,1
"4161","exp2","13",0,4223,27,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4167","exp1","12",0,5698,27,"Ambiguous","Subordinate_Clause_Question",1,-1
"4173","exp2","5",1,5023,27,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4179","exp4","11",1,7937,27,"Unambiguous","Main_Clause_Question",-1,1
"4185","exp2","1",1,4630,27,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4250","exp2","12",1,4533,28,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4256","exp1","11",0,1260,28,"Ambiguous","Subordinate_Clause_Question",1,-1
"4262","exp1","15",0,3136,28,"Ambiguous","Subordinate_Clause_Question",1,-1
"4268","exp3","5",1,5911,28,"Ambiguous","Main_Clause_Question",1,1
"4274","exp2","8",1,7929,28,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4280","exp4","6",1,4336,28,"Unambiguous","Main_Clause_Question",-1,1
"4286","exp1","3",0,3653,28,"Ambiguous","Subordinate_Clause_Question",1,-1
"4292","exp3","1",1,1471,28,"Ambiguous","Main_Clause_Question",1,1
"4298","exp4","14",0,2504,28,"Unambiguous","Main_Clause_Question",-1,1
"4304","exp1","7",0,2760,28,"Ambiguous","Subordinate_Clause_Question",1,-1
"4310","exp2","4",1,3275,28,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4316","exp2","16",0,3162,28,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4322","exp4","10",1,4038,28,"Unambiguous","Main_Clause_Question",-1,1
"4328","exp4","2",1,3482,28,"Unambiguous","Main_Clause_Question",-1,1
"4334","exp3","9",1,4763,28,"Ambiguous","Main_Clause_Question",1,1
"4340","exp3","13",1,2652,28,"Ambiguous","Main_Clause_Question",1,1
"4403","exp2","15",0,7170,29,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4409","exp4","9",0,8287,29,"Unambiguous","Main_Clause_Question",-1,1
"4415","exp1","2",1,5290,29,"Ambiguous","Subordinate_Clause_Question",1,-1
"4421","exp2","7",1,8413,29,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4427","exp1","10",1,3009,29,"Ambiguous","Subordinate_Clause_Question",1,-1
"4433","exp4","5",0,4491,29,"Unambiguous","Main_Clause_Question",-1,1
"4439","exp2","11",0,5532,29,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4445","exp3","4",0,5143,29,"Ambiguous","Main_Clause_Question",1,1
"4451","exp1","6",0,5615,29,"Ambiguous","Subordinate_Clause_Question",1,-1
"4457","exp3","12",1,2960,29,"Ambiguous","Main_Clause_Question",1,1
"4463","exp4","13",1,4081,29,"Unambiguous","Main_Clause_Question",-1,1
"4469","exp4","1",1,4326,29,"Unambiguous","Main_Clause_Question",-1,1
"4475","exp1","14",1,3301,29,"Ambiguous","Subordinate_Clause_Question",1,-1
"4481","exp2","3",0,8984,29,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4487","exp3","8",1,3506,29,"Ambiguous","Main_Clause_Question",1,1
"4493","exp3","16",0,2665,29,"Ambiguous","Main_Clause_Question",1,1
"4560","exp3","7",1,3998,30,"Ambiguous","Main_Clause_Question",1,1
"4566","exp4","4",0,4920,30,"Unambiguous","Main_Clause_Question",-1,1
"4572","exp1","9",1,8061,30,"Ambiguous","Subordinate_Clause_Question",1,-1
"4578","exp4","16",0,3174,30,"Unambiguous","Main_Clause_Question",-1,1
"4584","exp1","5",1,5207,30,"Ambiguous","Subordinate_Clause_Question",1,-1
"4590","exp2","10",0,6074,30,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4596","exp3","15",1,3159,30,"Ambiguous","Main_Clause_Question",1,1
"4602","exp1","13",0,3602,30,"Ambiguous","Subordinate_Clause_Question",1,-1
"4608","exp2","2",0,3794,30,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4614","exp2","6",0,7961,30,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4620","exp3","11",0,9335,30,"Ambiguous","Main_Clause_Question",1,1
"4626","exp2","14",1,4811,30,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4632","exp1","1",0,3576,30,"Ambiguous","Subordinate_Clause_Question",1,-1
"4638","exp4","8",1,4925,30,"Unambiguous","Main_Clause_Question",-1,1
"4644","exp3","3",0,3807,30,"Ambiguous","Main_Clause_Question",1,1
"4650","exp4","12",1,4886,30,"Unambiguous","Main_Clause_Question",-1,1
"4715","exp4","15",1,3035,31,"Unambiguous","Main_Clause_Question",-1,1
"4721","exp4","3",1,4478,31,"Unambiguous","Main_Clause_Question",-1,1
"4727","exp4","11",1,3102,31,"Unambiguous","Main_Clause_Question",-1,1
"4733","exp1","16",1,3418,31,"Ambiguous","Subordinate_Clause_Question",1,-1
"4739","exp1","8",1,6004,31,"Ambiguous","Subordinate_Clause_Question",1,-1
"4745","exp2","13",0,1693,31,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4751","exp2","9",1,5246,31,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4757","exp3","6",1,2327,31,"Ambiguous","Main_Clause_Question",1,1
"4763","exp4","7",1,1867,31,"Unambiguous","Main_Clause_Question",-1,1
"4769","exp2","5",1,1720,31,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4775","exp2","1",1,1952,31,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4781","exp3","14",0,2827,31,"Ambiguous","Main_Clause_Question",1,1
"4787","exp3","10",1,1867,31,"Ambiguous","Main_Clause_Question",1,1
"4793","exp1","12",1,2834,31,"Ambiguous","Subordinate_Clause_Question",1,-1
"4799","exp1","4",1,2760,31,"Ambiguous","Subordinate_Clause_Question",1,-1
"4805","exp3","2",1,1911,31,"Ambiguous","Main_Clause_Question",1,1
"4870","exp3","13",1,10097,32,"Ambiguous","Main_Clause_Question",1,1
"4876","exp2","8",1,6957,32,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4882","exp1","3",0,6170,32,"Ambiguous","Subordinate_Clause_Question",1,-1
"4888","exp4","6",1,3799,32,"Unambiguous","Main_Clause_Question",-1,1
"4894","exp1","11",0,11434,32,"Ambiguous","Subordinate_Clause_Question",1,-1
"4900","exp2","12",1,4346,32,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4906","exp3","1",1,2489,32,"Ambiguous","Main_Clause_Question",1,1
"4912","exp3","5",1,4825,32,"Ambiguous","Main_Clause_Question",1,1
"4918","exp3","9",1,3935,32,"Ambiguous","Main_Clause_Question",1,1
"4924","exp4","14",1,8376,32,"Unambiguous","Main_Clause_Question",-1,1
"4930","exp2","16",1,3587,32,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4936","exp2","4",1,4570,32,"Unambiguous","Subordinate_Clause_Question",-1,-1
"4942","exp1","7",0,3784,32,"Ambiguous","Subordinate_Clause_Question",1,-1
"4948","exp4","10",0,2232,32,"Unambiguous","Main_Clause_Question",-1,1
"4954","exp1","15",0,3340,32,"Ambiguous","Subordinate_Clause_Question",1,-1
"4960","exp4","2",1,2665,32,"Unambiguous","Main_Clause_Question",-1,1
"5023","exp4","10",1,5262,33,"Unambiguous","Main_Clause_Question",-1,1
"5029","exp2","8",1,3112,33,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5035","exp1","15",0,3003,33,"Ambiguous","Subordinate_Clause_Question",1,-1
"5041","exp4","14",1,2564,33,"Unambiguous","Main_Clause_Question",-1,1
"5047","exp3","13",1,3247,33,"Ambiguous","Main_Clause_Question",1,1
"5053","exp3","9",1,4680,33,"Ambiguous","Main_Clause_Question",1,1
"5059","exp1","7",0,3823,33,"Ambiguous","Subordinate_Clause_Question",1,-1
"5065","exp2","16",0,3534,33,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5071","exp3","5",1,2938,33,"Ambiguous","Main_Clause_Question",1,1
"5077","exp1","3",0,4616,33,"Ambiguous","Subordinate_Clause_Question",1,-1
"5083","exp2","4",0,3964,33,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5089","exp4","6",1,3108,33,"Unambiguous","Main_Clause_Question",-1,1
"5095","exp2","12",0,3027,33,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5101","exp1","11",0,5204,33,"Ambiguous","Subordinate_Clause_Question",1,-1
"5107","exp3","1",1,2990,33,"Ambiguous","Main_Clause_Question",1,1
"5113","exp4","2",0,5762,33,"Unambiguous","Main_Clause_Question",-1,1
"5180","exp4","8",1,1993,34,"Unambiguous","Main_Clause_Question",-1,1
"5186","exp2","6",1,9124,34,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5192","exp3","15",0,6654,34,"Ambiguous","Main_Clause_Question",1,1
"5198","exp1","5",0,4331,34,"Ambiguous","Subordinate_Clause_Question",1,-1
"5204","exp4","16",1,5059,34,"Unambiguous","Main_Clause_Question",-1,1
"5210","exp1","9",0,6058,34,"Ambiguous","Subordinate_Clause_Question",1,-1
"5216","exp4","4",0,9017,34,"Unambiguous","Main_Clause_Question",-1,1
"5222","exp2","2",1,7097,34,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5228","exp2","14",1,3663,34,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5234","exp1","1",0,5325,34,"Ambiguous","Subordinate_Clause_Question",1,-1
"5240","exp4","12",1,3463,34,"Unambiguous","Main_Clause_Question",-1,1
"5246","exp3","7",1,3892,34,"Ambiguous","Main_Clause_Question",1,1
"5252","exp3","11",0,2894,34,"Ambiguous","Main_Clause_Question",1,1
"5258","exp3","3",0,4037,34,"Ambiguous","Main_Clause_Question",1,1
"5264","exp1","13",0,2059,34,"Ambiguous","Subordinate_Clause_Question",1,-1
"5270","exp2","10",0,1675,34,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5335","exp3","3",1,6911,35,"Ambiguous","Main_Clause_Question",1,1
"5341","exp1","13",0,2049,35,"Ambiguous","Subordinate_Clause_Question",1,-1
"5347","exp4","4",0,4347,35,"Unambiguous","Main_Clause_Question",-1,1
"5353","exp1","5",0,3454,35,"Ambiguous","Subordinate_Clause_Question",1,-1
"5359","exp4","12",1,3051,35,"Unambiguous","Main_Clause_Question",-1,1
"5365","exp4","16",1,2213,35,"Unambiguous","Main_Clause_Question",-1,1
"5371","exp3","7",1,2219,35,"Ambiguous","Main_Clause_Question",1,1
"5377","exp1","9",0,2162,35,"Ambiguous","Subordinate_Clause_Question",1,-1
"5383","exp2","6",0,3611,35,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5389","exp2","14",0,3158,35,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5395","exp2","2",0,4965,35,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5401","exp3","11",1,3481,35,"Ambiguous","Main_Clause_Question",1,1
"5407","exp1","1",0,4530,35,"Ambiguous","Subordinate_Clause_Question",1,-1
"5413","exp4","8",1,3441,35,"Unambiguous","Main_Clause_Question",-1,1
"5419","exp2","10",0,2362,35,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5425","exp3","15",0,2625,35,"Ambiguous","Main_Clause_Question",1,1
"5488","exp2","16",0,6333,36,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5494","exp2","12",1,4681,36,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5500","exp4","6",1,5695,36,"Unambiguous","Main_Clause_Question",-1,1
"5506","exp1","15",0,2881,36,"Ambiguous","Subordinate_Clause_Question",1,-1
"5512","exp3","9",0,5195,36,"Ambiguous","Main_Clause_Question",1,1
"5518","exp1","3",0,9959,36,"Ambiguous","Subordinate_Clause_Question",1,-1
"5524","exp1","11",0,6292,36,"Ambiguous","Subordinate_Clause_Question",1,-1
"5530","exp3","5",0,5106,36,"Ambiguous","Main_Clause_Question",1,1
"5536","exp2","4",0,7424,36,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5542","exp3","1",0,10738,36,"Ambiguous","Main_Clause_Question",1,1
"5548","exp2","8",1,5849,36,"Unambiguous","Subordinate_Clause_Question",-1,-1
"5554","exp1","7",0,3315,36,"Ambiguous","Subordinate_Clause_Question",1,-1
"5560","exp4","14",0,6245,36,"Unambiguous","Main_Clause_Question",-1,1
"5566","exp4","2",0,6158,36,"Unambiguous","Main_Clause_Question",-1,1
"5572","exp3","13",0,2365,36,"Ambiguous","Main_Clause_Question",1,1
"5578","exp4","10",1,3607,36,"Unambiguous","Main_Clause_Question",-1,1
